"Display brand in search result","Display brand in search result"
"Brand Attribute","Brand Attribute"
"Select the attribute used for brand (default: Manufacturer)","Select the attribute used for brand (default: Manufacturer)"
"Use Product Identifier","Use Product Identifier"
"Use unique product id (SKU, EAN, etc)","Use unique product id (SKU, EAN, etc)"
"Unique Identifier Attribute","Unique Identifier Attribute"
"Select the attribute used as unique product id (default: SKU)","Select the attribute used as unique product id (default: SKU)"
"Unique Type","Unique Type"
"Select type of unique id","Select type of unique id"
"Use Breadcrumbs","Use Breadcrumbs"
"Use Rich Snippets in breadcrumbs (shop wide)","Use Rich Snippets in breadcrumbs (shop wide)"
"The name of your shop","The name of your shop"
"Out of stock","Out of stock"
"In stock","In stock"
"Product Grid","-- Manual"
"-- Manual","-- Manual"
"out of 5","out of 5"
"out of 100","out of 100"
"Out of","van de"
"based on","based on"
"review(s)","review(s)"
"Reviews","Reviews"
"Votes","Votes"
"Rating","Rating"
"Before Content","Before Content"
"After Content","After Content"
"Product Description Block","Product Description Block"
"Additional Information Block","Additional Information Block"
"Advanced: Custom Layout Update Handle","Advanced: Custom Layout Update Handle"
"Product Review Block (Modern Theme)","Product Review Block (Modern Theme)"
"Location","Location"
"Product Page Configuration","Product Page Configuration"
"Location of data","Location of data"
"Settings","Settings"
"stars","stars"
"Our %s has been rated %s based on %s individual customer review(s),"Our %s has been rated %s based on %s individual customer review(s)"
"Rating: %s based on %s review(s)","Rating: %s based on %s review(s)"
"Brand","Rating: %s based on %s review(s)"
"Color","Color"
"Model","Model"
"Product ID","Product ID"
"Location on Productpage","Location on Productpage"
"Enable on Product Page","Enable on Product Page"
"Select the location of the product summary block","Select the location of the product summary block",""Select the location of the product summary block","Select the location of the product summary block"
"A valid license key is required in order to enable the module.","A valid license key is required in order to enable the module."
"This will overwrite your custom breadcrumbs.phtml, see manual","This will overwrite your custom breadcrumbs.phtml, see manual"
"The extension makes a little summary about your product. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage or in your footer. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data.","The extension makes a little summary about your product. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage or in your footer. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data."
"Select the location of the product summary block","Select the location of the product summary block"
"Select if you want to show the product summary before of after the content","Select if you want to show the product summary before of after the content"
"Select the location of the product summary","Select the location of the product summary"
"Display the description of your product in search result","Display the description of your product in search result"
"Select the attribute (text) used for product-description","Select the attribute (text) used for product-description"
"Display in stock or out of stock in the search results","Display in stock or out of stock in the search results"
"Display review score (stars) in the search results","Display review score (stars) in the search results"
"Select if you want to show the product reviews or product votes","Select if you want to show the product reviews or product votes"
"Select the rating out of 100 or out of 5 (stars)","Select the rating out of 100 or out of 5 (stars)"
"Display the productbrand in search results","Display the productbrand in search results"
"Select the attribute used for brand (default: Manufacturer)","Select the attribute used for brand (default: Manufacturer)"
"Display brand in search result","Display brand in search result"
"Select the attribute used for color (default: Color)","Select the attribute used for color (default: Color)"
"Display the model in the search results","Display the model in the search results"
"Select the attribute used for model (default: model)","Select the attribute used for model (default: model)"
"Use unique product id (EAN, UPC, ISBN, etc)","Use unique product id (EAN, UPC, ISBN, etc)"
"Select the attribute used as unique product id (default: SKU)","Select the attribute used as unique product id (default: SKU)"
"The Global Trade Item Number (GTIN) is a 14-digit number which includes various EAN/UCC numbering structures and is used to uniquely identify a product worldwide. EAN/UCC product identification numbers allow a unique identifying GTIN number to be derived in the system. All EAN/UCC numbers are considered as 14-digit numbers, right justified and zero filled where necessary.","The Global Trade Item Number (GTIN) is a 14-digit number which includes various EAN/UCC numbering structures and is used to uniquely identify a product worldwide. EAN/UCC product identification numbers allow a unique identifying GTIN number to be derived in the system. All EAN/UCC numbers are considered as 14-digit numbers, right justified and zero filled where necessary."
"The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage or in your footer. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data.","The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage or in your footer. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data."
"Select if you want to manually add the code or if you want the code added automatically","Select if you want to manually add the code or if you want the code added automatically"
"Select if you want to show the category summary before of after the content","Select if you want to show the category summary before of after the content"
"Select the location of the Rich Snippet summary","Select the location of the Rich Snippet summary"
"Display the category description in the search results","Display the category description in the search results"
"Display the description of your category in search result","Display the description of your category in search result"
